"","W","PTS","O_PTS","FG%","3P%","TRB","AST","STL","TOV","O_FG%","O_3P%","O_TRB","O_AST","O_STL","O_TOV"
"1003",1,102,86,0.43,0.333,51,29,6,9,0.341,0.3,48,14,5,15
"1004",0,109,115,0.402,0.294,43,19,6,9,0.494,0.556,45,21,5,15
"1005",1,105,98,0.478,0.267,49,17,5,11,0.394,0.367,51,16,5,13
"1006",1,112,109,0.469,0.457,33,24,2,12,0.481,0.346,42,24,6,11
"1007",0,111,113,0.495,0.37,42,26,11,18,0.456,0.308,39,28,13,18
"1008",1,115,98,0.452,0.355,51,23,8,8,0.398,0.355,42,20,3,9
"1009",0,104,108,0.455,0.3,44,16,3,9,0.474,0.548,36,15,3,4
"1010",0,111,120,0.506,0.346,41,23,4,15,0.484,0.333,43,23,8,8
"1011",0,104,109,0.359,0.381,66,22,4,14,0.386,0.286,52,20,9,9
"1012",1,114,109,0.494,0.4,45,19,9,14,0.395,0.379,40,11,9,12
"1013",1,130,116,0.57,0.64,37,29,9,12,0.523,0.467,31,24,7,13
"1014",1,114,108,0.455,0.286,55,25,8,19,0.436,0.379,44,18,10,16
"1015",0,124,125,0.511,0.5,43,26,4,14,0.522,0.48,46,27,5,11
"1016",0,90,93,0.422,0.19,49,15,8,14,0.422,0.438,49,16,8,13
"1017",1,110,95,0.488,0.524,50,15,8,13,0.409,0.227,40,23,5,11
"1018",1,112,100,0.634,0.5,35,24,5,14,0.487,0.2,27,15,10,7
"1019",1,122,113,0.495,0.296,47,15,8,9,0.468,0.3,47,23,3,12
"1020",1,117,107,0.478,0.394,41,24,12,12,0.44,0.235,42,18,9,18
"1021",1,130,117,0.467,0.405,41,21,12,12,0.524,0.3,43,17,8,17
"1022",1,105,98,0.432,0.424,41,19,8,12,0.437,0.222,47,16,7,13
"1023",1,101,86,0.407,0.433,47,15,5,3,0.397,0.316,47,19,2,10
"1024",1,99,98,0.416,0.444,42,18,6,9,0.458,0.381,47,17,4,15
"1025",0,100,103,0.482,0.433,53,22,4,23,0.444,0.333,42,20,13,11
"1026",0,94,102,0.4,0.3,40,22,7,15,0.456,0.333,40,23,10,9
"1027",1,106,103,0.459,0.346,31,24,6,13,0.529,0.318,36,19,6,11
"1028",1,102,94,0.481,0.32,39,24,7,10,0.452,0.238,40,23,5,10
"1029",0,91,101,0.4,0.381,43,18,13,15,0.514,0.333,42,18,8,21
"1030",0,105,110,0.474,0.45,46,21,5,16,0.489,0.367,37,29,11,11
"1031",0,115,121,0.442,0.385,37,21,7,14,0.526,0.448,37,27,7,14
"1032",1,102,99,0.444,0.407,37,26,8,13,0.4,0.375,48,16,7,15
"1033",1,116,101,0.468,0.429,46,26,4,11,0.421,0.28,38,18,7,9
"1034",0,104,117,0.488,0.281,37,24,7,14,0.471,0.42,42,27,8,14
"1035",0,100,103,0.402,0.25,39,24,10,7,0.429,0.345,54,22,3,16
"1036",1,116,92,0.56,0.435,47,23,16,21,0.393,0.435,39,18,12,19
"1037",1,126,121,0.556,0.435,31,20,3,10,0.512,0.143,41,30,5,8
"1038",1,102,100,0.448,0.28,42,24,11,19,0.494,0.36,38,20,13,22
"1039",0,98,112,0.431,0.393,39,17,6,12,0.506,0.486,40,25,6,7
"1040",0,102,107,0.513,0.4,26,26,8,16,0.486,0.429,39,24,8,18
"1041",0,98,106,0.414,0.3,50,23,4,6,0.464,0.419,45,28,6,8
"1042",0,106,117,0.486,0.393,31,21,13,18,0.506,0.345,46,33,11,17
"1043",1,100,94,0.438,0.565,45,21,6,16,0.439,0.444,35,14,12,12
"1044",0,108,120,0.525,0.36,42,23,7,21,0.506,0.405,39,27,11,12
"1045",0,118,122,0.457,0.36,44,24,13,22,0.444,0.321,44,20,14,19
"1046",0,100,106,0.486,0.429,36,28,9,21,0.52,0.333,32,22,11,14
"1047",0,103,105,0.447,0.37,43,23,5,13,0.416,0.414,39,11,7,11
"1048",1,109,106,0.489,0.304,46,25,11,16,0.414,0.341,40,22,10,17
"1049",0,107,112,0.519,0.393,40,27,4,15,0.531,0.316,35,21,10,8
"1050",1,108,92,0.5,0.4,40,24,11,14,0.397,0.313,39,18,8,17
"1051",1,108,107,0.475,0.5,39,27,12,18,0.507,0.367,37,19,6,16
"1052",1,105,99,0.449,0.355,46,23,11,19,0.415,0.419,36,23,10,17
"1053",1,116,100,0.523,0.5,46,26,8,14,0.443,0.343,43,23,10,16
"1054",0,85,99,0.392,0.393,41,18,3,14,0.4,0.368,50,26,10,10
"1055",0,88,102,0.439,0.353,42,23,6,18,0.421,0.348,52,25,11,10
"1056",0,100,109,0.432,0.5,38,12,8,15,0.459,0.393,43,16,8,18
"1057",0,109,110,0.518,0.471,37,24,8,12,0.456,0.303,47,24,8,13
"1058",0,122,130,0.478,0.522,40,27,5,10,0.5,0.346,52,29,7,9
"1059",0,92,105,0.439,0.348,41,24,4,12,0.471,0.265,44,21,8,9
"1060",1,120,115,0.537,0.533,41,24,8,15,0.459,0.382,44,32,10,12
"1061",0,98,116,0.488,0.385,37,19,6,12,0.531,0.457,38,28,9,10
"1062",1,91,90,0.463,0.24,36,16,4,11,0.344,0.192,45,15,4,7
"1063",0,82,112,0.453,0.133,32,14,7,13,0.532,0.419,43,22,10,11
"1064",1,98,87,0.444,0.545,51,17,11,18,0.4,0.279,39,21,9,16
"1065",0,128,135,0.5,0.29,38,26,8,5,0.563,0.419,41,26,3,16
"1066",1,129,104,0.518,0.474,55,28,7,13,0.376,0.267,48,19,8,9
"1067",1,98,79,0.422,0.417,50,21,6,9,0.372,0.182,45,14,6,9
"1068",0,91,106,0.434,0.3,34,19,6,9,0.5,0.484,39,22,5,10
"1069",0,92,116,0.405,0.4,40,19,5,15,0.516,0.391,41,24,8,8
"1070",0,99,101,0.393,0.304,39,22,14,10,0.474,0.333,45,25,7,19
"1071",1,96,86,0.444,0.45,45,24,8,8,0.421,0.2,42,14,2,11
"1072",1,94,90,0.402,0.533,52,24,4,17,0.44,0.267,41,22,14,13
"1073",1,96,91,0.467,0.4,39,24,9,13,0.473,0.296,40,16,10,17
"1074",0,83,95,0.368,0.25,45,19,9,18,0.453,0.4,40,25,12,13
"1075",1,107,105,0.488,0.4,37,27,11,15,0.506,0.636,43,25,13,18
"1076",1,130,101,0.532,0.538,49,38,11,10,0.414,0.259,47,21,6,16
"1077",1,108,101,0.55,0.364,38,33,9,16,0.44,0.323,35,25,12,12
"1078",1,113,100,0.488,0.5,49,31,6,13,0.461,0.385,37,29,8,10
"1079",1,119,100,0.565,0.5,43,30,7,13,0.453,0.389,38,20,9,14
"1080",1,119,98,0.54,0.294,46,20,11,16,0.486,0.438,33,20,11,21
"1081",1,110,94,0.5,0.5,48,22,7,16,0.455,0.3,25,19,10,11
"1082",1,110,82,0.551,0.542,43,32,7,15,0.373,0.222,43,8,8,12
"1083",1,102,85,0.404,0.382,43,29,9,7,0.4,0.19,48,18,5,15
"1084",0,107,109,0.477,0.4,41,22,5,14,0.524,0.526,38,32,8,12
